Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
United States of America,Waynesboro,65,Moderate,2,Good,22,Good,6,Good,65,Moderate
United States of America,Waynesboro,65,Moderate,2,Good,22,Good,6,Good,65,Moderate
Italy,Frascati,48,Good,1,Good,48,Good,2,Good,29,Good
United States of America,Livermore,54,Moderate,1,Good,18,Good,13,Good,54,Moderate
Brazil,Loanda,17,Good,0,Good,17,Good,1,Good,16,Good
Thailand,Loei,44,Good,0,Good,22,Good,0,Good,44,Good
Russian Federation,Khilok,33,Good,1,Good,30,Good,0,Good,33,Good
South Africa,Komatipoort,89,Moderate,3,Good,14,Good,2,Good,89,Moderate
India,Kondapalle,147,Unhealthy for Sensitive Groups,1,Good,42,Good,0,Good,147,Unhealthy for Sensitive Groups
United States of America,Joplin,71,Moderate,1,Good,26,Good,4,Good,71,Moderate
Cuba,Jovellanos,82,Moderate,1,Good,19,Good,1,Good,82,Moderate
United States of America,Darien,81,Moderate,2,Good,8,Good,29,Good,81,Moderate
United States of America,Darien,81,Moderate,2,Good,8,Good,29,Good,81,Moderate
India,Dhekiajuli,89,Moderate,2,Good,44,Good,1,Good,89,Moderate
China,Dingzhou,197,Unhealthy,5,Good,197,Unhealthy,6,Good,159,Unhealthy
United States of America,Dolton,81,Moderate,2,Good,10,Good,29,Good,81,Moderate
,Karlskrona,35,Good,0,Good,35,Good,0,Good,23,Good
Namibia,Keetmanshoop,123,Unhealthy for Sensitive Groups,0,Good,18,Good,0,Good,123,Unhealthy for Sensitive Groups
United States of America,Kennebunk,45,Good,1,Good,41,Good,3,Good,45,Good
Netherlands,Doorn,38,Good,1,Good,29,Good,4,Good,38,Good
France,Eaubonne,51,Moderate,1,Good,20,Good,5,Good,51,Moderate
Germany,Ennigerloh,35,Good,1,Good,35,Good,2,Good,25,Good
Guatemala,Esquipulas,68,Moderate,3,Good,3,Good,6,Good,68,Moderate
Guatemala,Esquipulas,68,Moderate,3,Good,3,Good,6,Good,68,Moderate
United States of America,Farmington Hills,49,Good,1,Good,29,Good,6,Good,49,Good
Senegal,Koungheul,140,Unhealthy for Sensitive Groups,1,Good,19,Good,1,Good,140,Unhealthy for Sensitive Groups
Russian Federation,Krasnouralsk,25,Good,1,Good,25,Good,0,Good,20,Good
Germany,Kyritz,39,Good,0,Good,39,Good,0,Good,21,Good
Panama,La Chorrera,65,Moderate,1,Good,20,Good,4,Good,65,Moderate
Italy,La Spezia,59,Moderate,1,Good,41,Good,1,Good,59,Moderate
Cuba,Mariel,60,Moderate,1,Good,24,Good,2,Good,60,Moderate
United States of America,Markham,75,Moderate,2,Good,14,Good,25,Good,75,Moderate
United States of America,Markham,75,Moderate,2,Good,14,Good,25,Good,75,Moderate
United States of America,Prospect Heights,83,Moderate,3,Good,6,Good,30,Good,83,Moderate
Brazil,Santa Barbara,91,Moderate,3,Good,2,Good,6,Good,91,Moderate
Brazil,Santa Barbara,91,Moderate,3,Good,2,Good,6,Good,91,Moderate
Brazil,Santa Barbara,91,Moderate,3,Good,2,Good,6,Good,91,Moderate
Germany,Seelze,37,Good,1,Good,37,Good,1,Good,23,Good
Brazil,Miguel Pereira,154,Unhealthy,5,Good,10,Good,18,Good,154,Unhealthy
Japan,Miki,45,Good,1,Good,35,Good,3,Good,45,Good
Japan,Miki,45,Good,1,Good,35,Good,3,Good,45,Good
Spain,Montilla,34,Good,1,Good,28,Good,3,Good,34,Good
Madagascar,Moramanga,21,Good,0,Good,21,Good,0,Good,10,Good
India,Shillong,101,Unhealthy for Sensitive Groups,2,Good,42,Good,0,Good,101,Unhealthy for Sensitive Groups
United States of America,Southbridge,54,Moderate,1,Good,48,Good,2,Good,54,Moderate
South Africa,Soweto,185,Unhealthy,36,Good,10,Good,22,Good,185,Unhealthy
Switzerland,Spiez,32,Good,0,Good,32,Good,0,Good,20,Good
Russian Federation,Sredneuralsk,32,Good,1,Good,32,Good,1,Good,29,Good
Germany,Straubing,29,Good,0,Good,29,Good,1,Good,24,Good
Germany,Rostock,37,Good,0,Good,37,Good,0,Good,20,Good
Finland,Salo,34,Good,0,Good,34,Good,1,Good,20,Good
Australia,Nerang,36,Good,1,Good,17,Good,7,Good,36,Good
Ghana,Nkawkaw,79,Moderate,1,Good,19,Good,0,Good,79,Moderate
India,Mundra,153,Unhealthy,0,Good,26,Good,0,Good,153,Unhealthy
Rwanda,Nyanza,63,Moderate,5,Good,21,Good,2,Good,63,Moderate
United States of America,Oakland,52,Moderate,1,Good,24,Good,9,Good,52,Moderate
United States of America,Oakland,52,Moderate,1,Good,24,Good,9,Good,52,Moderate
United States of America,Oakland,52,Moderate,1,Good,24,Good,9,Good,52,Moderate
India,Ratangarh,500,Hazardous,0,Good,37,Good,0,Good,471,Hazardous
India,Ratangarh,500,Hazardous,0,Good,37,Good,0,Good,471,Hazardous
Germany,Rellingen,33,Good,1,Good,33,Good,2,Good,25,Good
Netherlands,Renkum,36,Good,1,Good,31,Good,3,Good,36,Good
Germany,Telgte,35,Good,1,Good,35,Good,2,Good,25,Good
Mexico,Temixco,119,Unhealthy for Sensitive Groups,3,Good,1,Good,15,Good,119,Unhealthy for Sensitive Groups
Italy,Termoli,51,Moderate,1,Good,51,Moderate,0,Good,34,Good
Russian Federation,Syktyvkar,30,Good,1,Good,30,Good,0,Good,10,Good
India,Taki,170,Unhealthy,3,Good,96,Moderate,2,Good,170,Unhealthy
